nama_hewan,aksi,durasi_detik,waktu_mulai
Wilson,makan_pagi,156,04-03-2026 06:04:52
Wilson,grooming,148,01-03-2026 17:13:02
Wilson,bermain,1858,01-03-2026 11:05:35
Punch,grooming,656,01-03-2026 12:40:40
Punch,grooming,107,05-03-2026 15:03:14
Punch,makan_malam,751,04-03-2026 18:34:07
Punch,tidur_siang,6287,05-03-2026 13:23:06
Punch,grooming,604,01-03-2026 12:31:43
Wilson,minum,28,04-03-2026 15:59:29
Wilson,makan_siang,619,07-03-2026 12:44:49
Punch,grooming,411,03-03-2026 17:31:56
Wilson,makan_malam,976,05-03-2026 17:07:32
Punch,minum,7,02-03-2026 20:31:26
Punch,mandi,478,05-03-2026 09:21:44
Wilson,grooming,155,07-03-2026 16:04:53
Wilson,berjalan,1617,06-03-2026 17:04:03
Wilson,latihan,1880,05-03-2026 15:18:45
Wilson,tidur_malam,23518,04-03-2026 22:10:39
Wilson,tidur_malam,25656,02-03-2026 22:08:47
Wilson,bermain,1959,07-03-2026 15:05:10
Wilson,mandi,683,03-03-2026 08:52:27
Wilson,istirahat,899,04-03-2026 15:43:56
Punch,makan_pagi,298,01-03-2026 07:09:14
Punch,berjalan,697,07-03-2026 16:11:16
Punch,makan_pagi,386,04-03-2026 08:39:36
Punch,istirahat,1717,07-03-2026 10:29:57
Wilson,bermain,2718,04-03-2026 14:06:30
Wilson,tidur_malam,24259,02-03-2026 21:13:28
Punch,minum,41,05-03-2026 06:06:00
Punch,mandi,192,01-03-2026 09:39:01
Punch,grooming,415,04-03-2026 11:40:16
Wilson,berjalan,1074,01-03-2026 08:54:31
Wilson,berjalan,1655,03-03-2026 08:09:06
Wilson,istirahat,450,03-03-2026 17:53:44
Punch,makan_siang,175,05-03-2026 13:09:44
Wilson,latihan,1369,07-03-2026 09:44:54
Wilson,makan_pagi,574,03-03-2026 07:34:34
Wilson,latihan,3406,02-03-2026 17:51:50
Punch,makan_siang,584,07-03-2026 14:47:51
Punch,mandi,148,04-03-2026 09:46:01
Wilson,berjalan,825,03-03-2026 10:44:38
Wilson,istirahat,329,03-03-2026 15:05:14
Punch,berjalan,1398,02-03-2026 12:13:30
Punch,berjalan,293,06-03-2026 12:51:41
Punch,bermain,851,07-03-2026 11:30:56
Wilson,latihan,1921,03-03-2026 09:51:46
Wilson,bermain,816,06-03-2026 09:46:10
Punch,tidur_malam,32345,02-03-2026 23:57:29
Punch,grooming,418,07-03-2026 16:42:59
Punch,mandi,863,05-03-2026 08:01:00
Punch,mandi,319,06-03-2026 08:27:55
Punch,tidur_malam,25540,03-03-2026 21:18:32
Wilson,makan_malam,244,05-03-2026 20:53:08
Wilson,berjalan,1178,06-03-2026 16:52:57
Wilson,mandi,139,02-03-2026 08:33:32
Wilson,makan_pagi,213,05-03-2026 06:49:51
Punch,makan_pagi,393,04-03-2026 06:35:03
Wilson,tidur_siang,4068,05-03-2026 12:15:12
Punch,tidur_siang,2319,05-03-2026 15:35:01
Wilson,minum,17,05-03-2026 14:38:32
Wilson,berjalan,1159,05-03-2026 15:51:30
Punch,istirahat,534,05-03-2026 14:59:35
Wilson,makan_pagi,383,04-03-2026 06:25:28
Punch,latihan,3042,02-03-2026 14:04:13
Wilson,tidur_siang,4799,07-03-2026 13:45:41
Punch,makan_malam,312,02-03-2026 20:14:47
Wilson,berjalan,450,02-03-2026 17:53:14
Wilson,mandi,485,04-03-2026 09:26:12
Wilson,tidur_siang,6338,06-03-2026 14:01:21
Wilson,berjalan,1179,06-03-2026 07:24:21
Wilson,mandi,354,01-03-2026 07:58:50
Punch,tidur_siang,3287,03-03-2026 14:02:57
Wilson,makan_pagi,324,07-03-2026 09:54:58
Wilson,makan_pagi,151,05-03-2026 09:44:20
Wilson,tidur_malam,22786,07-03-2026 23:11:27
Wilson,tidur_malam,22972,06-03-2026 21:51:16
Punch,tidur_siang,4578,03-03-2026 12:29:00
Wilson,makan_malam,608,05-03-2026 18:02:33
Punch,makan_pagi,379,03-03-2026 06:11:12
Wilson,mandi,632,07-03-2026 08:18:28
Punch,makan_malam,151,03-03-2026 17:16:02
Punch,istirahat,623,05-03-2026 13:32:30
Wilson,tidur_siang,6272,06-03-2026 15:42:31
Wilson,mandi,323,03-03-2026 08:14:21
Punch,bermain,178,03-03-2026 08:53:08
Punch,latihan,526,06-03-2026 12:27:10
Punch,latihan,3046,07-03-2026 14:55:32
Wilson,grooming,249,02-03-2026 13:02:29
Punch,makan_malam,793,04-03-2026 17:16:23
Wilson,makan_siang,494,01-03-2026 13:13:22
Punch,minum,37,04-03-2026 07:30:17
Punch,makan_siang,303,05-03-2026 11:05:16
Punch,bermain,1347,05-03-2026 08:25:01
Wilson,latihan,3374,02-03-2026 09:37:33
Punch,latihan,1635,06-03-2026 17:24:48
Wilson,makan_pagi,585,03-03-2026 07:02:52
Wilson,istirahat,1661,06-03-2026 12:58:33
Punch,latihan,471,05-03-2026 11:05:01
Punch,latihan,2148,03-03-2026 09:24:53
Punch,latihan,2304,01-03-2026 16:43:15
Wilson,tidur_malam,29840,04-03-2026 21:47:59
Punch,latihan,2240,05-03-2026 09:47:47
Wilson,tidur_siang,3481,07-03-2026 14:15:46
Punch,istirahat,903,06-03-2026 17:31:54
Punch,berjalan,1383,06-03-2026 11:49:02
Punch,tidur_siang,7137,05-03-2026 13:21:16
Wilson,grooming,122,05-03-2026 11:00:30
Wilson,makan_malam,1122,06-03-2026 17:44:13
Wilson,istirahat,1075,05-03-2026 14:29:29
Punch,mandi,604,02-03-2026 09:05:59
Punch,makan_malam,1040,04-03-2026 17:52:32
Wilson,bermain,489,02-03-2026 11:04:37
Punch,istirahat,1355,05-03-2026 14:23:08
Wilson,tidur_siang,5782,06-03-2026 14:14:31
Wilson,tidur_malam,28985,02-03-2026 21:31:43
Wilson,makan_malam,890,06-03-2026 18:26:22
Wilson,tidur_siang,4571,07-03-2026 14:00:20
Wilson,tidur_siang,4174,02-03-2026 12:57:47
Wilson,minum,42,01-03-2026 12:24:55
Punch,minum,8,04-03-2026 18:17:54
Wilson,tidur_siang,3019,01-03-2026 14:40:59
Punch,makan_malam,884,04-03-2026 19:12:49
Wilson,tidur_malam,30679,07-03-2026 23:25:58
Punch,istirahat,961,01-03-2026 10:59:46
Wilson,grooming,353,07-03-2026 11:41:55
Wilson,tidur_malam,28397,05-03-2026 21:10:30
Wilson,makan_malam,652,03-03-2026 19:47:47
Wilson,latihan,3039,02-03-2026 12:30:35
Wilson,tidur_siang,5900,02-03-2026 13:04:13
Wilson,mandi,897,02-03-2026 10:58:21
Wilson,bermain,491,02-03-2026 16:12:15
Punch,minum,28,05-03-2026 07:20:15
Wilson,grooming,482,02-03-2026 09:47:55
Wilson,bermain,1226,06-03-2026 16:13:24
Wilson,tidur_malam,23662,04-03-2026 22:36:23
Punch,tidur_siang,7090,03-03-2026 13:24:25
Wilson,bermain,1861,03-03-2026 08:08:02
Wilson,grooming,600,04-03-2026 09:04:25
Wilson,berjalan,431,02-03-2026 08:14:09
Punch,istirahat,1711,06-03-2026 17:05:35
Punch,tidur_malam,22215,07-03-2026 21:14:36
Wilson,makan_pagi,507,06-03-2026 08:33:40
Punch,tidur_siang,3370,01-03-2026 14:33:37
Wilson,makan_malam,737,02-03-2026 17:00:34
Wilson,makan_malam,600,03-03-2026 18:30:33
Punch,tidur_malam,22506,04-03-2026 23:41:19
Punch,makan_siang,586,04-03-2026 14:05:16
Wilson,minum,26,02-03-2026 13:02:44
Wilson,minum,56,06-03-2026 12:12:00
Wilson,istirahat,530,07-03-2026 11:13:31
Wilson,makan_siang,724,02-03-2026 14:14:16
Punch,grooming,556,04-03-2026 11:57:14
Wilson,latihan,1911,01-03-2026 17:09:59
Punch,makan_siang,243,01-03-2026 12:26:03
Punch,bermain,445,04-03-2026 13:46:07
Punch,minum,38,02-03-2026 08:41:59
Wilson,tidur_malam,27725,03-03-2026 23:46:24
Wilson,berjalan,693,02-03-2026 08:00:05
Punch,minum,53,04-03-2026 20:07:35
Punch,bermain,1891,03-03-2026 12:52:51
Punch,tidur_malam,30472,06-03-2026 22:12:23
Wilson,makan_siang,1091,03-03-2026 13:47:57
Punch,latihan,3440,04-03-2026 11:51:40
Wilson,tidur_malam,22615,04-03-2026 21:29:04
Wilson,makan_siang,814,06-03-2026 11:57:38
Wilson,makan_malam,768,03-03-2026 17:16:47
Wilson,makan_malam,598,01-03-2026 17:01:52
Punch,berjalan,1737,06-03-2026 14:49:24
Wilson,bermain,2153,07-03-2026 15:08:59
Punch,tidur_malam,24079,07-03-2026 23:19:52
Punch,minum,55,07-03-2026 11:29:23
Punch,mandi,373,02-03-2026 10:48:10
Wilson,tidur_siang,6261,06-03-2026 12:30:35
Wilson,makan_pagi,146,04-03-2026 06:04:16
Punch,tidur_siang,3218,04-03-2026 15:45:28
Punch,makan_pagi,300,04-03-2026 09:39:57
Punch,makan_malam,883,03-03-2026 19:36:17
Wilson,istirahat,500,03-03-2026 13:28:15
Punch,makan_siang,505,02-03-2026 13:56:58
Wilson,tidur_siang,6111,04-03-2026 14:15:32
Punch,latihan,451,07-03-2026 09:41:29
Punch,tidur_malam,27725,04-03-2026 21:53:28
Punch,makan_malam,517,02-03-2026 17:03:12
Punch,minum,43,05-03-2026 19:11:28
Wilson,latihan,3206,01-03-2026 09:40:38
Wilson,makan_siang,210,01-03-2026 13:21:09
Punch,makan_malam,790,01-03-2026 18:52:00
Wilson,latihan,619,03-03-2026 10:39:19
Punch,tidur_malam,22636,07-03-2026 22:35:30
Wilson,tidur_siang,3066,07-03-2026 15:42:35
Punch,latihan,1978,02-03-2026 14:44:17
Wilson,latihan,3352,03-03-2026 14:03:19
