k,inertia,silhouette,davies_bouldin
3,6689261.092003779,0.08872397338815746,3.490605519490325
4,6486147.336881038,0.10850184343047227,2.1608336290026684
5,6330350.705206547,0.05919091118815035,2.341172560264128
6,6179895.428810062,0.11529757888125161,2.6810513303516217
7,5889936.465825962,0.11576561308518385,2.2568550294779426
8,5809562.64752087,0.09472980613310276,2.4758641193725652
9,5614168.002880983,0.12251433506386747,2.104760495009417
10,5460336.039167877,0.14296624174129605,2.1545777803420147
11,5441109.100353299,0.15224959363116167,2.163391332378176
12,5096826.321969635,0.15957368858307638,2.095486938914737
